function,pattern,delta,fin_ratio,f90
pending,diff,1,1.0,14.0
pending,diff,3,1.0,13.333333333333334
pending,diff,6,1.0,13.166666666666666
pending,diff,10,1.0,13.1
pending,overlap,1,1.0,12.0
pending,overlap,3,1.0,6.666666666666667
pending,overlap,6,1.0,5.333333333333333
pending,overlap,10,1.0,4.8
