contract,mutation_type,pattern,delta,f90_target,f90_width,converged,num_intervals,exec_time,success
GreenHouse_c,swap_mul_div,diff,10,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,diff,15,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,diff,1,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,diff,3,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,diff,6,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,overlap,10,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,overlap,15,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,overlap,1,net,inf,False,6,0.08,True
GreenHouse_c,swap_mul_div,overlap,3,net,inf,False,6,0.06,True
GreenHouse_c,swap_mul_div,overlap,6,net,inf,False,6,0.06,True
HubPool_c,original_has_division,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,original_has_division,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,original_has_division,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.11,True
HubPool_c,original_has_division,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,original_has_division,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,original_has_division,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.16,True
HubPool_c,original_has_division,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.19,True
HubPool_c,original_has_division,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.15,True
HubPool_c,original_has_division,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.13,True
HubPool_c,original_has_division,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.15,True
HubPool_c,sub_to_add,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,sub_to_add,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,sub_to_add,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.16,True
HubPool_c,sub_to_add,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.14,True
HubPool_c,sub_to_add,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.20,True
HubPool_c,sub_to_add,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,5,0.21,True
