contract,mutation_type,pattern,delta,target_var,f90_width,converged,num_intervals,exec_time,status
GreenHouse_c,swap_mul_div,diff,15,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,diff,1,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,diff,3,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,diff,6,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,overlap,10,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,overlap,15,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,overlap,1,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,overlap,3,net,,False,0,0.00,error
GreenHouse_c,swap_mul_div,overlap,6,net,,False,0,0.00,error
HubPool_c,original_has_division,diff,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.03,error
HubPool_c,original_has_division,diff,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,diff,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,diff,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,diff,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,overlap,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,overlap,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,overlap,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,overlap,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,original_has_division,overlap,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,diff,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.03,error
HubPool_c,sub_to_add,diff,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,diff,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,diff,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,diff,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,overlap,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,overlap,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,overlap,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,overlap,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,sub_to_add,overlap,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,diff,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.03,error
HubPool_c,swap_add_sub,diff,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,diff,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,diff,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,diff,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,overlap,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,overlap,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,overlap,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,overlap,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_add_sub,overlap,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,diff,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.03,error
HubPool_c,swap_mul_div,diff,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,diff,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,diff,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,diff,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,overlap,10,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,overlap,15,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,overlap,1,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,overlap,3,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
HubPool_c,swap_mul_div,overlap,6,pooledTokens[l1Token].undistributedLpFees,,False,0,0.01,error
Lock_c,add_to_sub,diff,10,_pending,,False,0,0.03,error
Lock_c,add_to_sub,diff,15,_pending,,False,0,0.01,error
Lock_c,add_to_sub,diff,1,_pending,,False,0,0.01,error
Lock_c,add_to_sub,diff,3,_pending,,False,0,0.01,error
Lock_c,add_to_sub,diff,6,_pending,,False,0,0.01,error
Lock_c,add_to_sub,overlap,10,_pending,,False,0,0.01,error
Lock_c,add_to_sub,overlap,15,_pending,,False,0,0.01,error
Lock_c,add_to_sub,overlap,1,_pending,,False,0,0.01,error
Lock_c,add_to_sub,overlap,3,_pending,,False,0,0.01,error
Lock_c,add_to_sub,overlap,6,_pending,,False,0,0.01,error
Lock_c,sub_to_add,diff,10,_pending,,False,0,0.03,error
Lock_c,sub_to_add,diff,15,_pending,,False,0,0.01,error
Lock_c,sub_to_add,diff,1,_pending,,False,0,0.01,error
Lock_c,sub_to_add,diff,3,_pending,,False,0,0.01,error
Lock_c,sub_to_add,diff,6,_pending,,False,0,0.01,error
Lock_c,sub_to_add,overlap,10,_pending,,False,0,0.01,error
Lock_c,sub_to_add,overlap,15,_pending,,False,0,0.01,error
Lock_c,sub_to_add,overlap,1,_pending,,False,0,0.01,error
Lock_c,sub_to_add,overlap,3,_pending,,False,0,0.01,error
Lock_c,sub_to_add,overlap,6,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,diff,10,_pending,,False,0,0.03,error
Lock_c,swap_add_sub,diff,15,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,diff,1,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,diff,3,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,diff,6,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,overlap,10,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,overlap,15,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,overlap,1,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,overlap,3,_pending,,False,0,0.01,error
Lock_c,swap_add_sub,overlap,6,_pending,,False,0,0.01,error
LockupContract_c,add_to_sub,diff,10,releasedAmount,,False,0,0.03,error
LockupContract_c,add_to_sub,diff,15,releasedAmount,,False,0,0.00,error
LockupContract_c,add_to_sub,diff,1,releasedAmount,,False,0,0.01,error
LockupContract_c,add_to_sub,diff,3,releasedAmount,,False,0,0.01,error
LockupContract_c,add_to_sub,diff,6,releasedAmount,,False,0,0.00,error
LockupContract_c,add_to_sub,overlap,10,releasedAmount,,False,0,0.01,error
LockupContract_c,add_to_sub,overlap,15,releasedAmount,,False,0,0.00,error
LockupContract_c,add_to_sub,overlap,1,releasedAmount,,False,0,0.00,error
LockupContract_c,add_to_sub,overlap,3,releasedAmount,,False,0,0.00,error
LockupContract_c,add_to_sub,overlap,6,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,diff,10,releasedAmount,,False,0,0.03,error
LockupContract_c,original_has_division,diff,15,releasedAmount,,False,0,0.01,error
LockupContract_c,original_has_division,diff,1,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,diff,3,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,diff,6,releasedAmount,,False,0,0.01,error
LockupContract_c,original_has_division,overlap,10,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,overlap,15,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,overlap,1,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,overlap,3,releasedAmount,,False,0,0.00,error
LockupContract_c,original_has_division,overlap,6,releasedAmount,,False,0,0.00,error
LockupContract_c,sub_to_add,diff,10,releasedAmount,,False,0,0.03,error
LockupContract_c,sub_to_add,diff,15,releasedAmount,,False,0,0.01,error
LockupContract_c,sub_to_add,diff,1,releasedAmount,,False,0,0.01,error
LockupContract_c,sub_to_add,diff,3,releasedAmount,,False,0,0.00,error
LockupContract_c,sub_to_add,diff,6,releasedAmount,,False,0,0.01,error
LockupContract_c,sub_to_add,overlap,10,releasedAmount,,False,0,0.01,error
LockupContract_c,sub_to_add,overlap,15,releasedAmount,,False,0,0.00,error
LockupContract_c,sub_to_add,overlap,1,releasedAmount,,False,0,0.00,error
LockupContract_c,sub_to_add,overlap,3,releasedAmount,,False,0,0.01,error
LockupContract_c,sub_to_add,overlap,6,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_add_sub,diff,10,releasedAmount,,False,0,0.03,error
LockupContract_c,swap_add_sub,diff,15,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,diff,1,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_add_sub,diff,3,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,diff,6,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_add_sub,overlap,10,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,overlap,15,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,overlap,1,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,overlap,3,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_add_sub,overlap,6,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_mul_div,diff,10,releasedAmount,,False,0,0.02,error
LockupContract_c,swap_mul_div,diff,15,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_mul_div,diff,1,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_mul_div,diff,3,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_mul_div,diff,6,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_mul_div,overlap,10,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_mul_div,overlap,15,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_mul_div,overlap,1,releasedAmount,,False,0,0.01,error
LockupContract_c,swap_mul_div,overlap,3,releasedAmount,,False,0,0.00,error
LockupContract_c,swap_mul_div,overlap,6,releasedAmount,,False,0,0.01,error
PoolKeeper_c,add_to_sub,diff,10,keeperTip,,False,0,0.03,error
PoolKeeper_c,add_to_sub,diff,15,keeperTip,,False,0,0.01,error
PoolKeeper_c,add_to_sub,diff,1,keeperTip,,False,0,0.00,error
PoolKeeper_c,add_to_sub,diff,3,keeperTip,,False,0,0.01,error
PoolKeeper_c,add_to_sub,diff,6,keeperTip,,False,0,0.00,error
PoolKeeper_c,add_to_sub,overlap,10,keeperTip,,False,0,0.00,error
PoolKeeper_c,add_to_sub,overlap,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,add_to_sub,overlap,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,add_to_sub,overlap,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,add_to_sub,overlap,6,keeperTip,,False,0,0.00,error
PoolKeeper_c,original_has_division,diff,10,keeperTip,,False,0,0.03,error
PoolKeeper_c,original_has_division,diff,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,original_has_division,diff,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,original_has_division,diff,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,original_has_division,diff,6,keeperTip,,False,0,0.01,error
PoolKeeper_c,original_has_division,overlap,10,keeperTip,,False,0,0.01,error
PoolKeeper_c,original_has_division,overlap,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,original_has_division,overlap,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,original_has_division,overlap,3,keeperTip,,False,0,0.01,error
PoolKeeper_c,original_has_division,overlap,6,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_add_sub,diff,10,keeperTip,,False,0,0.04,error
PoolKeeper_c,swap_add_sub,diff,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,diff,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_add_sub,diff,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,diff,6,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_add_sub,overlap,10,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,overlap,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,overlap,1,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,overlap,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_add_sub,overlap,6,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_mul_div,diff,10,keeperTip,,False,0,0.04,error
PoolKeeper_c,swap_mul_div,diff,15,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_mul_div,diff,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_mul_div,diff,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_mul_div,diff,6,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_mul_div,overlap,10,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_mul_div,overlap,15,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_mul_div,overlap,1,keeperTip,,False,0,0.01,error
PoolKeeper_c,swap_mul_div,overlap,3,keeperTip,,False,0,0.00,error
PoolKeeper_c,swap_mul_div,overlap,6,keeperTip,,False,0,0.01,error
ThorusBond_c,original_has_division,diff,10,return,,False,0,0.01,error
ThorusBond_c,original_has_division,diff,15,return,,False,0,0.01,error
ThorusBond_c,original_has_division,diff,1,return,,False,0,0.00,error
ThorusBond_c,original_has_division,diff,3,return,,False,0,0.00,error
ThorusBond_c,original_has_division,diff,6,return,,False,0,0.00,error
ThorusBond_c,original_has_division,overlap,10,return,,False,0,0.01,error
ThorusBond_c,original_has_division,overlap,15,return,,False,0,0.01,error
ThorusBond_c,original_has_division,overlap,1,return,,False,0,0.01,error
ThorusBond_c,original_has_division,overlap,3,return,,False,0,0.01,error
ThorusBond_c,original_has_division,overlap,6,return,,False,0,0.00,error
ThorusBond_c,swap_mul_div,diff,10,return,,False,0,0.03,error
ThorusBond_c,swap_mul_div,diff,15,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,diff,1,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,diff,3,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,diff,6,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,overlap,10,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,overlap,15,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,overlap,1,return,,False,0,0.01,error
ThorusBond_c,swap_mul_div,overlap,3,return,,False,0,0.00,error
ThorusBond_c,swap_mul_div,overlap,6,return,,False,0,0.01,error
