contract,mutation_type,pattern,delta,f90_target,f90_width,converged,num_intervals,exec_time,success
GovStakingStorage_c,swap_add_sub,diff,10,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,diff,15,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,diff,1,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,diff,3,info.rewardMultiplier,,False,3,0.06,True
GovStakingStorage_c,swap_add_sub,diff,6,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,overlap,10,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,overlap,15,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_add_sub,overlap,1,info.rewardMultiplier,,False,3,0.08,True
GovStakingStorage_c,swap_add_sub,overlap,3,info.rewardMultiplier,,False,3,0.06,True
GovStakingStorage_c,swap_add_sub,overlap,6,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,diff,10,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,diff,15,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,diff,1,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,diff,3,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,diff,6,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,overlap,10,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,overlap,15,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,overlap,1,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,overlap,3,info.rewardMultiplier,,False,3,0.05,True
GovStakingStorage_c,swap_mul_div,overlap,6,info.rewardMultiplier,,False,3,0.05,True
GreenHouse_c,original_has_division,diff,10,net,inf,False,5,0.06,True
GreenHouse_c,original_has_division,diff,15,net,inf,False,5,0.05,True
GreenHouse_c,original_has_division,diff,1,net,inf,False,5,0.09,True
GreenHouse_c,original_has_division,diff,3,net,inf,False,5,0.05,True
GreenHouse_c,original_has_division,diff,6,net,inf,False,5,0.05,True
GreenHouse_c,original_has_division,overlap,10,net,inf,False,5,0.05,True
GreenHouse_c,original_has_division,overlap,15,net,inf,False,5,0.06,True
GreenHouse_c,original_has_division,overlap,1,net,inf,False,5,0.06,True
GreenHouse_c,original_has_division,overlap,3,net,inf,False,5,0.06,True
GreenHouse_c,original_has_division,overlap,6,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,diff,10,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,diff,15,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,diff,1,net,inf,False,5,0.06,True
GreenHouse_c,swap_mul_div,diff,3,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,diff,6,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,overlap,10,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,overlap,15,net,inf,False,5,0.09,True
GreenHouse_c,swap_mul_div,overlap,1,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,overlap,3,net,inf,False,5,0.05,True
GreenHouse_c,swap_mul_div,overlap,6,net,inf,False,5,0.05,True
HubPool_c,original_has_division,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.05,True
HubPool_c,original_has_division,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,original_has_division,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.03,True
HubPool_c,sub_to_add,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.03,True
HubPool_c,sub_to_add,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,sub_to_add,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.03,True
HubPool_c,swap_add_sub,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_add_sub,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,diff,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,diff,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,diff,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,diff,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,diff,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,overlap,10,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,overlap,15,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,overlap,1,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,overlap,3,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
HubPool_c,swap_mul_div,overlap,6,pooledTokens[l1Token].undistributedLpFees,inf,False,0,0.02,True
Lock_c,add_to_sub,diff,10,_pending,,False,1,0.06,True
Lock_c,add_to_sub,diff,15,_pending,,False,1,0.06,True
Lock_c,add_to_sub,diff,1,_pending,,False,1,0.07,True
Lock_c,add_to_sub,diff,3,_pending,,False,1,0.08,True
Lock_c,add_to_sub,diff,6,_pending,,False,1,0.10,True
Lock_c,add_to_sub,overlap,10,_pending,,False,1,0.10,True
Lock_c,add_to_sub,overlap,15,_pending,,False,1,0.08,True
Lock_c,add_to_sub,overlap,1,_pending,,False,1,0.09,True
Lock_c,add_to_sub,overlap,3,_pending,,False,1,0.07,True
Lock_c,add_to_sub,overlap,6,_pending,,False,1,0.07,True
Lock_c,sub_to_add,diff,10,_pending,,False,1,0.12,True
Lock_c,sub_to_add,diff,15,_pending,,False,1,0.08,True
Lock_c,sub_to_add,diff,1,_pending,,False,1,0.08,True
Lock_c,sub_to_add,diff,3,_pending,,False,1,0.07,True
Lock_c,sub_to_add,diff,6,_pending,,False,1,0.08,True
Lock_c,sub_to_add,overlap,10,_pending,,False,1,0.09,True
Lock_c,sub_to_add,overlap,15,_pending,,False,1,0.09,True
Lock_c,sub_to_add,overlap,1,_pending,,False,1,0.09,True
Lock_c,sub_to_add,overlap,3,_pending,,False,1,0.09,True
Lock_c,sub_to_add,overlap,6,_pending,,False,1,0.09,True
Lock_c,swap_add_sub,diff,10,_pending,,False,1,0.10,True
Lock_c,swap_add_sub,diff,15,_pending,,False,1,0.10,True
Lock_c,swap_add_sub,diff,1,_pending,,False,1,0.09,True
Lock_c,swap_add_sub,diff,3,_pending,,False,1,0.07,True
Lock_c,swap_add_sub,diff,6,_pending,,False,1,0.09,True
Lock_c,swap_add_sub,overlap,10,_pending,,False,1,0.08,True
Lock_c,swap_add_sub,overlap,15,_pending,,False,1,0.09,True
Lock_c,swap_add_sub,overlap,1,_pending,,False,1,0.07,True
Lock_c,swap_add_sub,overlap,3,_pending,,False,1,0.06,True
Lock_c,swap_add_sub,overlap,6,_pending,,False,1,0.06,True
LockupContract_c,add_to_sub,diff,10,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,diff,15,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,diff,1,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,diff,3,releasedAmount,,False,3,0.06,True
LockupContract_c,add_to_sub,diff,6,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,overlap,10,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,overlap,15,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,overlap,1,releasedAmount,,False,3,0.03,True
LockupContract_c,add_to_sub,overlap,3,releasedAmount,,False,3,0.04,True
LockupContract_c,add_to_sub,overlap,6,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,diff,10,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,diff,15,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,diff,1,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,diff,3,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,diff,6,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,overlap,10,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,overlap,15,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,overlap,1,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,overlap,3,releasedAmount,,False,3,0.03,True
LockupContract_c,original_has_division,overlap,6,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,diff,10,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,diff,15,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,diff,1,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,diff,3,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,diff,6,releasedAmount,,False,3,0.04,True
LockupContract_c,sub_to_add,overlap,10,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,overlap,15,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,overlap,1,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,overlap,3,releasedAmount,,False,3,0.03,True
LockupContract_c,sub_to_add,overlap,6,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,diff,10,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,diff,15,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,diff,1,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,diff,3,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,diff,6,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,overlap,10,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,overlap,15,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,overlap,1,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,overlap,3,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_add_sub,overlap,6,releasedAmount,,False,3,0.04,True
LockupContract_c,swap_mul_div,diff,10,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,diff,15,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,diff,1,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,diff,3,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,diff,6,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,overlap,10,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,overlap,15,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,overlap,1,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,overlap,3,releasedAmount,,False,3,0.03,True
LockupContract_c,swap_mul_div,overlap,6,releasedAmount,,False,3,0.03,True
PoolKeeper_c,add_to_sub,diff,10,keeperTip,,False,1,0.02,True
PoolKeeper_c,add_to_sub,diff,15,keeperTip,,False,1,0.02,True
PoolKeeper_c,add_to_sub,diff,1,keeperTip,,False,1,0.02,True
PoolKeeper_c,add_to_sub,diff,3,keeperTip,,False,1,0.02,True
PoolKeeper_c,add_to_sub,diff,6,keeperTip,,False,1,0.01,True
PoolKeeper_c,add_to_sub,overlap,10,keeperTip,,False,1,0.01,True
PoolKeeper_c,add_to_sub,overlap,15,keeperTip,,False,1,0.02,True
PoolKeeper_c,add_to_sub,overlap,1,keeperTip,,False,1,0.01,True
PoolKeeper_c,add_to_sub,overlap,3,keeperTip,,False,1,0.01,True
PoolKeeper_c,add_to_sub,overlap,6,keeperTip,,False,1,0.01,True
PoolKeeper_c,original_has_division,diff,10,keeperTip,,False,1,0.01,True
PoolKeeper_c,original_has_division,diff,15,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,diff,1,keeperTip,,False,1,0.01,True
PoolKeeper_c,original_has_division,diff,3,keeperTip,,False,1,0.01,True
PoolKeeper_c,original_has_division,diff,6,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,overlap,10,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,overlap,15,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,overlap,1,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,overlap,3,keeperTip,,False,1,0.02,True
PoolKeeper_c,original_has_division,overlap,6,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_add_sub,diff,10,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_add_sub,diff,15,keeperTip,,False,1,0.05,True
PoolKeeper_c,swap_add_sub,diff,1,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_add_sub,diff,3,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_add_sub,diff,6,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_add_sub,overlap,10,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_add_sub,overlap,15,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_add_sub,overlap,1,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_add_sub,overlap,3,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_add_sub,overlap,6,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_mul_div,diff,10,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_mul_div,diff,15,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_mul_div,diff,1,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_mul_div,diff,3,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_mul_div,diff,6,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_mul_div,overlap,10,keeperTip,,False,1,0.02,True
PoolKeeper_c,swap_mul_div,overlap,15,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_mul_div,overlap,1,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_mul_div,overlap,3,keeperTip,,False,1,0.01,True
PoolKeeper_c,swap_mul_div,overlap,6,keeperTip,,False,1,0.02,True
ThorusBond_c,original_has_division,diff,10,None,,False,0,0.01,True
ThorusBond_c,original_has_division,diff,15,None,,False,0,0.01,True
ThorusBond_c,original_has_division,diff,1,None,,False,0,0.01,True
ThorusBond_c,original_has_division,diff,3,None,,False,0,0.01,True
ThorusBond_c,original_has_division,diff,6,None,,False,0,0.02,True
ThorusBond_c,original_has_division,overlap,10,None,,False,0,0.01,True
ThorusBond_c,original_has_division,overlap,15,None,,False,0,0.01,True
ThorusBond_c,original_has_division,overlap,1,None,,False,0,0.01,True
ThorusBond_c,original_has_division,overlap,3,None,,False,0,0.02,True
ThorusBond_c,original_has_division,overlap,6,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,diff,10,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,diff,15,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,diff,1,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,diff,3,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,diff,6,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,overlap,10,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,overlap,15,None,,False,0,0.02,True
ThorusBond_c,swap_mul_div,overlap,1,None,,False,0,0.01,True
ThorusBond_c,swap_mul_div,overlap,3,None,,False,0,0.02,True
ThorusBond_c,swap_mul_div,overlap,6,None,,False,0,0.02,True
