contract,pattern,delta,execution_time,num_intervals,finite_count,infinite_count,avg_width,max_width,f90,success
LockupContract_c,overlap,3,0.1406848430633545,6,3,3,0.0,0,0,True
LockupContract_c,diff,3,0.15219831466674805,6,3,3,0.0,0,0,True
LockupContract_c,overlap,6,0.1420736312866211,6,3,3,0.0,0,0,True
LockupContract_c,diff,6,0.1409008502960205,6,3,3,0.0,0,0,True
LockupContract_c,overlap,10,0.1349961757659912,6,3,3,0.0,0,0,True
LockupContract_c,diff,10,0.14280962944030762,6,3,3,0.0,0,0,True
LockupContract_c,overlap,15,0.1532752513885498,6,3,3,0.0,0,0,True
LockupContract_c,diff,15,0.146575927734375,6,3,3,0.0,0,0,True
PoolKeeper_c,overlap,1,0.11063814163208008,3,3,0,0.0,0,0,True
PoolKeeper_c,diff,1,0.14656972885131836,3,3,0,0.0,0,0,True
PoolKeeper_c,overlap,3,0.1178591251373291,3,3,0,0.0,0,0,True
PoolKeeper_c,diff,3,0.10789060592651367,3,3,0,0.0,0,0,True
PoolKeeper_c,overlap,6,0.10175204277038574,3,3,0,0.0,0,0,True
PoolKeeper_c,diff,6,0.10966873168945312,3,3,0,0.0,0,0,True
PoolKeeper_c,overlap,10,0.11446642875671387,3,3,0,0.0,0,0,True
PoolKeeper_c,diff,10,0.133131742477417,3,3,0,0.0,0,0,True
PoolKeeper_c,overlap,15,0.12511110305786133,3,3,0,0.0,0,0,True
PoolKeeper_c,diff,15,0.11274862289428711,3,3,0,0.0,0,0,True
ThorusBond_c,overlap,1,0.046114206314086914,1,1,0,0.0,0,0,True
ThorusBond_c,diff,1,0.04786038398742676,1,1,0,0.0,0,0,True
ThorusBond_c,overlap,3,0.045182228088378906,1,1,0,0.0,0,0,True
ThorusBond_c,diff,3,0.053948163986206055,1,1,0,0.0,0,0,True
ThorusBond_c,overlap,6,0.04333186149597168,1,1,0,0.0,0,0,True
ThorusBond_c,diff,6,0.0413665771484375,1,1,0,0.0,0,0,True
ThorusBond_c,overlap,10,0.0399324893951416,1,1,0,0.0,0,0,True
ThorusBond_c,diff,10,0.0299530029296875,1,1,0,0.0,0,0,True
ThorusBond_c,overlap,15,0.042426109313964844,1,1,0,0.0,0,0,True
ThorusBond_c,diff,15,0.048384904861450195,1,1,0,0.0,0,0,True
