setup_time_ms,compile_time_ms,deploy_time_ms,state_slot_setup_time_ms,num_state_slots,num_state_arrays,execution_time_ms,debug_open_time_ms,byteop_count,jump_to_end_time_ms,total_time_ms,pure_debug_time_ms,success,error,contract_name,function_name,annotation_targets,expected_state_slots,run_number
1172.2603999987768,16347.354200002885,18517.585900000995,0.0016999983927235,0,0,1003.3082999980252,4771.89999999851,461,61085.5,108716.24189999784,65857.39999999851,True,,AOC_BEP,updateUserInfo,0,0,1
1159.431100000802,16456.81159999731,18587.081099998613,10126.88630000048,6,0,1032.077299998491,8648.900000002235,803,98093.0,154124.86139999965,106741.90000000224,True,,ATIDStaking,_insertLockedStake,11,7,1
1149.6082999983628,16451.044999997976,18555.235299998458,2019.430399999692,2,0,927.9033999991952,13129.20000000298,75,29444.400000002235,83485.39560000063,42573.600000005215,True,,AloeBlend,_earmarkSomeForMaintenance,4,2,1
1148.446999999578,16422.29199999929,18576.535299998795,2763.7909000004584,2,0,960.829300001933,6183.599999997765,161,33122.20000000298,84346.69849999773,39305.800000000745,True,,Amoss,_burn,4,2,1
1158.1028000000515,16556.94080000103,18539.994099999603,4474.644399997487,0,1,916.3509999998496,6434.0,67,25713.800000000745,79195.28120000177,32147.800000000745,True,,AvatarArtMarketplace,_removeFromTokens,2,1,1
1154.0426999999909,16470.040000000154,18569.42109999727,3624.718400002166,2,0,1014.3079000008584,9740.10000000149,80,11382.10000000149,67225.84869999991,21122.20000000298,True,,BEP20,transferFrom,6,3,1
1165.3371000029438,16410.43990000253,18468.368300000293,3080.3426999991643,0,1,979.7619999990276,4303.400000002235,343,47541.5,97366.19749999954,51844.90000000224,True,,Balancer,_addActionBuilderAt,3,1,1
1165.908999999374,16510.772999998153,18621.545300000435,1510.0125999997545,1,0,921.731099999306,5565.199999999255,62,24621.89999999851,74165.61400000137,30187.099999997765,True,,BitBookStake,viewFeePercentage,3,1,1
1168.939600000158,16528.72969999953,18564.211900000373,5441.5420000004815,4,0,952.9394999990471,4281.10000000149,131,27376.0,79939.20159999834,31657.10000000149,True,,Claim,getCurrentClaimAmount,6,4,1
1165.4060000000754,16414.39559999708,18502.84230000034,4839.325700002519,1,1,943.2361999970452,4317.0,431,49322.199999999255,100940.47460000002,53639.199999999255,True,,Core,revokeStableMaster,3,2,1
1176.9359999998414,16530.90119999979,18570.66240000131,2028.7323000011384,2,0,984.180399998877,4342.29999999702,59,26120.300000000745,75185.96489999982,30462.599999997765,True,,CoreVoting,quorums,2,2,1
1150.6145000021206,16465.15290000025,18603.25020000164,4481.694600002811,2,0,989.1650999998092,4219.5,530,68794.5,120394.1135999994,73014.0,True,,Dai,transferFrom,6,3,1
1164.6352000025215,16365.852999999332,18512.96849999926,0.0015999976312741,0,0,982.8435999988868,5817.89999999851,254,40210.89999999851,88691.50810000065,46028.79999999702,True,,DapiServer,calculateUpdateInPercentage,0,2,1
1218.7567000000854,16491.770199998427,18565.28189999881,2054.1561000027286,2,0,545.0655999993614,4512.29999999702,206,54709.90000000224,103278.67920000062,59222.199999999255,True,,DeltaNeutralPancakeWorker02,getReinvestPath,4,4,1
1172.538800001348,16395.893900000374,18498.922799997672,0.0020000006770715,0,0,960.7289999985368,4376.199999999255,170,45050.90000000224,91812.30850000064,49427.10000000149,True,,Dripper,_availableFunds,4,0,1
1160.212699996919,16412.45060000074,18548.97979999805,3468.9938000010443,1,0,1000.925800002733,4179.099999997765,233,43119.29999999702,93030.40560000228,47298.39999999479,True,,ERC20,_transfer,5,2,1
1156.7963999987114,16484.178700000484,18597.426900003484,4553.896400000667,2,0,996.6290999982448,4484.699999999255,399,56981.599999997765,108530.89420000106,61466.29999999702,True,,EdenToken,transferFrom,6,3,1
1196.1525000006077,16489.65290000342,18607.95320000034,2727.853000000323,2,0,961.4384999986214,4125.900000002235,907,120481.89999999852,170364.3895999994,124607.80000000076,True,,GovStakingStorage,updateRewardMultiplier,9,2,1
1196.3697999999567,16549.22269999952,18523.88140000039,0.0007000016921665,0,0,947.6818000002822,6032.39999999851,981,107668.30000000076,156243.8199999997,113700.69999999924,True,,GreenHouse,_calculateFees,0,1,1
1216.9802000025811,16512.437900000805,18624.43809999968,3765.6698999999207,3,0,954.8801999990246,4106.300000000745,409,53527.10000000149,104350.3047999984,57633.40000000224,True,,HubPool,_allocateLpAndProtocolFees,6,4,1
1185.8136000009836,16526.678999998694,18646.96399999957,3935.664599997836,4,0,988.3028000003832,7932.800000000745,349,45652.29999999702,100507.2762000018,53585.099999997765,True,,Lock,pending,7,6,1
1188.776400002098,16429.342599996744,18602.14939999787,3878.101999998762,4,0,556.8641999998363,4099.400000002235,485,47887.40000000224,97808.12069999956,51986.80000000447,True,,LockupContract_c.sol,_getReleasedAmount,5,4,1
1153.5541999983252,16413.067299999966,18544.554000000066,2952.5579000001017,3,0,535.7568999970681,4152.60000000149,198,36398.10000000149,85869.19560000024,40550.70000000298,True,,MockChainlinkOracle,latestRoundData,3,3,1
1162.605599998642,16459.703500000614,18521.85250000184,2007.1333999985652,2,0,981.4210000004095,4253.20000000298,284,48109.40000000224,97153.68709999892,52362.600000005215,True,,OptimisiticGrants,configureGrant,3,1,1
1176.6485999978613,16455.935099998896,18574.58449999831,3082.664699999441,3,0,979.3816000019432,4743.39999999851,305,50160.60000000149,100844.30129999964,54904.0,True,,PercentageFeeModel,getEarlyWithdrawFeeAmount,7,5,1
1171.9522000021243,16383.706399999935,18545.859299996664,0.0017000020307023,0,0,926.9511999991664,4067.29999999702,333,46131.0,92420.43209999974,50198.29999999702,True,,PoolKeeper,keeperTip,3,0,1
1239.825600001495,16464.59920000052,18527.21929999825,0.0015999976312741,0,0,979.0408000008028,5043.199999999255,143,28290.10000000149,75819.85580000037,33333.300000000745,True,,ThorusBond,claimablePayout,4,3,1
1212.1932999980345,16581.01220000026,18601.928800002497,12210.65710000039,2,2,941.7544999996608,4024.599999997765,60,22219.10000000149,80958.88879999984,26243.69999999925,True,,ThorusLottery,isWinning,5,4,1
1182.5692000020354,16475.30579999875,18551.396099999693,4554.137900002388,0,1,967.8715000009106,8021.0,43,20362.19999999925,75746.70170000172,28383.19999999925,True,,TimeLockPool,getTotalDeposit,4,3,1
1162.1551999996882,16454.434799998126,18978.5555999988,3262.699099999736,2,0,1000.545200000488,5151.60000000149,190,20836.5,72066.24860000011,25988.10000000149,True,,WASTR,withdrawFrom,5,2,1
