contract_name,interval,run_id,latency_s,success,error
AloeBlend,2,3,0.05592130000150064,True,
Amoss,2,3,0.0671559000002162,True,
AOC_BEP,2,3,1.2762404999994033,True,
ATIDStaking,2,3,0.31556819999968866,True,
AvatarArtMarketPlace,2,3,2.196809900000517,True,
Balancer,2,3,1.1274354999986826,True,
BitBookStake,2,3,0.036728600000060396,True,
CitrusToken,2,3,0.03989950000323006,True,
Claim,2,3,0.05712239999775193,True,
Core,2,3,0.5163439999996626,True,
CoreVoting,2,3,0.05035599999973783,True,
Dai,2,3,0.1504571000004944,True,
DapiServer,2,3,0.07666320000134874,True,
DeltaNeutralPancakeWorker02,2,3,0.14675700000225333,True,
Dripper,2,3,0.02048520000244025,True,
Edentoken,2,3,0.13399000000208616,True,
GovStakingStorage,2,3,0.079161199999362,True,
GreenHouse,2,3,0.07873580000159563,True,
HubPool,2,3,0.11102299999765819,True,
Lock,2,3,0.1883574999992561,True,
LockupContract,2,3,0.06737499999871943,True,
Meter_flat,2,3,0.05790770000021439,True,
MockChainlinkOracle,2,3,0.06691979999959585,True,
OptimisticGrants,2,3,0.0938893000020471,True,
PercentageFeeModel,2,3,0.23239350000221748,True,
PoolKeeper,2,3,0.052971000000979984,True,
ThorusBond,2,3,0.04960129999744822,True,
ThorusLottery,2,3,0.06312289999914356,True,
TimeLockPool,2,3,0.1886449999983597,True,
WASTR,2,3,0.1697889999995823,True,
