contract_name,interval,run_id,latency_s,success,error
AloeBlend,2,7,0.05723840000064229,True,
Amoss,2,7,0.06401869999899645,True,
AOC_BEP,2,7,1.2692773000017041,True,
ATIDStaking,2,7,0.3080183999991277,True,
AvatarArtMarketPlace,2,7,2.342622799998935,True,
Balancer,2,7,1.1636644000027445,True,
BitBookStake,2,7,0.03664260000005015,True,
CitrusToken,2,7,0.04185670000151731,True,
Claim,2,7,0.057645200002298225,True,
Core,2,7,0.4857618999994884,True,
CoreVoting,2,7,0.04780390000087209,True,
Dai,2,7,0.14686780000192812,True,
DapiServer,2,7,0.075605900001392,True,
DeltaNeutralPancakeWorker02,2,7,0.1662804999978107,True,
Dripper,2,7,0.02039650000006077,True,
Edentoken,2,7,0.139025299999048,True,
GovStakingStorage,2,7,0.08077379999667755,True,
GreenHouse,2,7,0.055644299998675706,True,
HubPool,2,7,0.11443539999891073,True,
Lock,2,7,0.19745789999797125,True,
LockupContract,2,7,0.07202500000130385,True,
Meter_flat,2,7,0.07971220000035828,True,
MockChainlinkOracle,2,7,0.0639627999989898,True,
OptimisticGrants,2,7,0.09255160000247997,True,
PercentageFeeModel,2,7,0.21124070000223583,True,
PoolKeeper,2,7,0.0527475000017148,True,
ThorusBond,2,7,0.050960300002770964,True,
ThorusLottery,2,7,0.06415949999791337,True,
TimeLockPool,2,7,0.18280509999749484,True,
WASTR,2,7,0.18727420000141137,True,
