contract_name,interval,run_id,latency_s,success,error
AloeBlend,0,1,0.10810859999764943,True,
Amoss,0,1,0.11133900000277208,True,
AOC_BEP,0,1,1.2153320999968855,True,
ATIDStaking,0,1,0.3045811000010872,True,
AvatarArtMarketPlace,0,1,1.7870653000027232,True,
Balancer,0,1,1.0445639999998093,True,
BitBookStake,0,1,0.022693399998388486,True,
CitrusToken,0,1,0.04064220000145724,True,
Claim,0,1,0.05702690000180155,True,
Core,0,1,0.40505950000078883,True,
CoreVoting,0,1,0.054435099998954684,True,
Dai,0,1,0.15676869999879273,True,
DapiServer,0,1,0.11061659999904805,True,
DeltaNeutralPancakeWorker02,0,1,0.14954889999717125,True,
Dripper,0,1,0.018674499999178806,True,
Edentoken,0,1,0.13297090000196476,True,
GovStakingStorage,0,1,0.08053490000020247,True,
GreenHouse,0,1,0.0548516999988351,True,
HubPool,0,1,0.11457499999960419,True,
Lock,0,1,0.18639120000079856,True,
LockupContract,0,1,0.08686709999892628,True,
Meter_flat,0,1,0.056128299998817965,True,
MockChainlinkOracle,0,1,0.06877349999922444,True,
OptimisticGrants,0,1,0.09240589999899385,True,
PercentageFeeModel,0,1,0.20633680000173626,True,
PoolKeeper,0,1,0.05118420000144397,True,
ThorusBond,0,1,0.05038540000168723,True,
ThorusLottery,0,1,0.07014379999964149,True,
TimeLockPool,0,1,0.21457309999823337,True,
WASTR,0,1,0.16119910000270465,True,
AloeBlend,0,2,0.050709300001472,True,
Amoss,0,2,0.06254350000017439,True,
AOC_BEP,0,2,1.3514276999994763,True,
ATIDStaking,0,2,0.3616002999988268,True,
AvatarArtMarketPlace,0,2,1.9875100999997812,True,
Balancer,0,2,1.0440498999996635,True,
BitBookStake,0,2,0.022432599998865044,True,
CitrusToken,0,2,0.042896099999779835,True,
Claim,0,2,0.058562299996992806,True,
Core,0,2,0.411605100001907,True,
CoreVoting,0,2,0.046856600001774495,True,
Dai,0,2,0.1438291999984358,True,
DapiServer,0,2,0.07469119999950635,True,
DeltaNeutralPancakeWorker02,0,2,0.14967900000192458,True,
Dripper,0,2,0.04545960000177729,True,
Edentoken,0,2,0.13631549999990966,True,
GovStakingStorage,0,2,0.07866879999710363,True,
GreenHouse,0,2,0.05254199999762932,True,
HubPool,0,2,0.11045970000122907,True,
Lock,0,2,0.18682800000169664,True,
LockupContract,0,2,0.06817129999762983,True,
Meter_flat,0,2,0.054647599998133956,True,
MockChainlinkOracle,0,2,0.08944509999855654,True,
OptimisticGrants,0,2,0.09833630000139237,True,
PercentageFeeModel,0,2,0.20768399999724352,True,
PoolKeeper,0,2,0.05219859999851906,True,
ThorusBond,0,2,0.048889300000155345,True,
ThorusLottery,0,2,0.06063549999817042,True,
TimeLockPool,0,2,0.1781951000011759,True,
WASTR,0,2,0.16248429999905056,True,
AloeBlend,0,3,0.07729219999964698,True,
Amoss,0,3,0.05893060000016703,True,
AOC_BEP,0,3,1.3204665999983263,True,
ATIDStaking,0,3,0.3072941999998875,True,
AvatarArtMarketPlace,0,3,1.8117315000017697,True,
Balancer,0,3,1.0161315000004834,True,
BitBookStake,0,3,0.0210399999996298,True,
CitrusToken,0,3,0.03878719999920577,True,
Claim,0,3,0.05638849999741069,True,
Core,0,3,0.43249999999898137,True,
CoreVoting,0,3,0.04464630000074976,True,
Dai,0,3,0.1411292999982834,True,
DapiServer,0,3,0.07146590000047581,True,
DeltaNeutralPancakeWorker02,0,3,0.14454639999894425,True,
Dripper,0,3,0.019717999999556923,True,
Edentoken,0,3,0.14208940000025905,True,
GovStakingStorage,0,3,0.11867550000170013,True,
GreenHouse,0,3,0.05770720000145957,True,
HubPool,0,3,0.1190982999978587,True,
Lock,0,3,0.20418090000021039,True,
LockupContract,0,3,0.06159449999904609,True,
Meter_flat,0,3,0.05616280000322149,True,
MockChainlinkOracle,0,3,0.06653780000124243,True,
OptimisticGrants,0,3,0.09185730000172043,True,
PercentageFeeModel,0,3,0.23355699999956414,True,
PoolKeeper,0,3,0.05041909999999916,True,
ThorusBond,0,3,0.051252600002044346,True,
ThorusLottery,0,3,0.06123210000077961,True,
TimeLockPool,0,3,0.18603630000143312,True,
WASTR,0,3,0.16500470000028145,True,
AloeBlend,0,4,0.05617830000119284,True,
Amoss,0,4,0.06605589999890071,True,
AOC_BEP,0,4,1.321002699998644,True,
ATIDStaking,0,4,0.3100808000017423,True,
AvatarArtMarketPlace,0,4,1.9118877000000793,True,
Balancer,0,4,1.0620211999994353,True,
BitBookStake,0,4,0.022424599999794737,True,
CitrusToken,0,4,0.04365749999851687,True,
Claim,0,4,0.057678900000610156,True,
Core,0,4,0.48000690000117174,True,
CoreVoting,0,4,0.05334630000288598,True,
Dai,0,4,0.16158010000071954,True,
DapiServer,0,4,0.08111949999874923,True,
DeltaNeutralPancakeWorker02,0,4,0.150934999997844,True,
Dripper,0,4,0.021718600000895094,True,
Edentoken,0,4,0.1348431000005803,True,
GovStakingStorage,0,4,0.08266490000096383,True,
GreenHouse,0,4,0.05543720000059693,True,
HubPool,0,4,0.14422819999890635,True,
Lock,0,4,0.19326100000034785,True,
LockupContract,0,4,0.06776979999995092,True,
Meter_flat,0,4,0.05808470000192756,True,
MockChainlinkOracle,0,4,0.06838489999790909,True,
OptimisticGrants,0,4,0.09925240000302438,True,
PercentageFeeModel,0,4,0.22543030000088038,True,
PoolKeeper,0,4,0.054651800001011,True,
ThorusBond,0,4,0.07575899999937974,True,
ThorusLottery,0,4,0.061269800000445684,True,
TimeLockPool,0,4,0.18565469999884954,True,
WASTR,0,4,0.16575000000011642,True,
AloeBlend,0,5,0.06010989999776939,True,
Amoss,0,5,0.0686892000012449,True,
AOC_BEP,0,5,1.330678700000135,True,
ATIDStaking,0,5,0.303548600000795,True,
AvatarArtMarketPlace,0,5,1.9088582000003953,True,
Balancer,0,5,1.0616665000015928,True,
BitBookStake,0,5,0.021427599996968638,True,
CitrusToken,0,5,0.04210180000154651,True,
Claim,0,5,0.057348099999217084,True,
Core,0,5,0.4125729000006686,True,
CoreVoting,0,5,0.04837509999924805,True,
Dai,0,5,0.1717248999993899,True,
