contract_name,interval,run_id,latency_s,success,error
AloeBlend,2,2,0.06197740000061458,True,
Amoss,2,2,0.06682150000051479,True,
AOC_BEP,2,2,1.4354021999970428,True,
ATIDStaking,2,2,0.3195980000018608,True,
AvatarArtMarketPlace,2,2,2.119052100002591,True,
Balancer,2,2,1.1106612000003224,True,
BitBookStake,2,2,0.037459000002854737,True,
CitrusToken,2,2,0.04256140000143205,True,
Claim,2,2,0.05840530000205035,True,
Core,2,2,0.5091993999994884,True,
CoreVoting,2,2,0.048645099999703234,True,
Dai,2,2,0.14826929999981076,True,
DapiServer,2,2,0.07517139999981737,True,
DeltaNeutralPancakeWorker02,2,2,0.1477139000016905,True,
Dripper,2,2,0.020682899998064386,True,
Edentoken,2,2,0.13701939999737078,True,
GovStakingStorage,2,2,0.10483039999962784,True,
GreenHouse,2,2,0.055107100000896025,True,
HubPool,2,2,0.11596500000086962,True,
Lock,2,2,0.19017789999998058,True,
LockupContract,2,2,0.06755970000085654,True,
Meter_flat,2,2,0.058620100000553066,True,
MockChainlinkOracle,2,2,0.0674388999977964,True,
OptimisticGrants,2,2,0.09473540000180947,True,
PercentageFeeModel,2,2,0.2510850999969989,True,
PoolKeeper,2,2,0.06397030000152881,True,
ThorusBond,2,2,0.05658979999861913,True,
ThorusLottery,2,2,0.06783050000012736,True,
TimeLockPool,2,2,0.18683300000338932,True,
WASTR,2,2,0.1620401000000129,True,
