setup_time_ms,compile_time_ms,deploy_time_ms,state_slot_setup_time_ms,num_state_slots,num_state_arrays,execution_time_ms,debug_open_time_ms,byteop_count,jump_to_end_time_ms,total_time_ms,pure_debug_time_ms,success,error,contract_name,function_name,annotation_targets,expected_state_slots,run_number
1353.2284000011714,16347.258499999953,18387.01990000117,0.0009000013960758,0.0,0.0,1007.079099999828,16488.199999999255,461.0,61652.699999999255,120393.21130000098,78140.89999999851,True,,AOC_BEP,updateUserInfo,0,0,1
1176.8454999983078,16418.933000000834,18717.82229999735,9814.278199999537,6.0,0.0,963.8051000001724,4210.5,803.0,111473.09999999964,168620.89659999765,115683.59999999964,True,,ATIDStaking,_insertLockedStake,11,7,1
1178.185000000667,16609.626199999184,18374.16779999876,1965.1010999987195,2.0,0.0,947.4680000002992,7979.10000000149,75.0,30242.79999999888,79134.78310000028,38221.90000000037,True,,AloeBlend,_earmarkSomeForMaintenance,4,2,1
1341.6890999997122,16656.69109999908,18467.43349999997,2770.835900000748,2.0,0.0,970.9612000006018,16061.199999999257,161.0,33964.40000000037,95450.76270000028,50025.59999999963,True,,Amoss,_burn,4,2,1
1192.12300000072,16643.400699998892,18460.87500000067,2953.3400000000256,0.0,1.0,919.3458999980066,4228.099999999628,340.0,65609.5,116184.15900000036,69837.59999999963,True,,AvatarArtMarketplace,_removeFromTokens,2,1,1
1164.102599999751,16393.01649999834,18447.75619999928,3212.116100003186,2.0,0.0,1061.5518999984488,4278.10000000149,469.0,66695.0,116666.35289999977,70973.10000000149,True,,BEP20,transferFrom,6,3,1
1189.151300000958,16437.936800000898,18457.777600000554,3221.9198000020697,0.0,1.0,963.8052999980572,4111.400000002235,343.0,48518.90000000224,98066.19929999944,52630.30000000447,True,,Balancer,_addActionBuilderAt,3,1,1
1177.6408000005176,16390.859600000113,18462.58609999859,990.562899998622,1.0,0.0,930.2547000006598,4389.699999999255,62.0,24411.29999999702,72068.66440000158,28800.999999996275,True,,BitBookStake,viewFeePercentage,3,1,1
1158.1145000018296,16364.882799996847,18344.78899999885,5416.48499999792,4.0,0.0,958.3013000010396,5523.10000000149,131.0,27753.39999999851,80734.14359999879,33276.5,True,,Claim,getCurrentClaimAmount,6,4,1
1166.4596000009624,16346.99879999971,18440.848900001583,5170.932299999549,1.0,1.0,989.6048000009614,4201.79999999702,431.0,54974.79999999702,107005.39189999836,59176.59999999404,True,,Core,revokeStableMaster,3,2,1
