contract_name,interval,run_id,latency_s,success,error
AloeBlend,10,1,0.0791389000005438,True,
Amoss,10,1,0.06344239999816637,True,
AOC_BEP,10,1,1.265700600000855,True,
ATIDStaking,10,1,0.31344090000129654,True,
AvatarArtMarketPlace,10,1,2.9968431999986933,True,
Balancer,10,1,1.5619258000006084,True,
BitBookStake,10,1,0.03812770000149612,True,
CitrusToken,10,1,0.04351450000103796,True,
Claim,10,1,0.053285300000425195,True,
Core,10,1,1.0482090000004973,True,
CoreVoting,10,1,0.07004280000182916,True,
Dai,10,1,0.14994210000077146,True,
DapiServer,10,1,0.07759629999782192,True,
DeltaNeutralPancakeWorker02,10,1,0.14697390000219457,True,
Dripper,10,1,0.02082220000011148,True,
Edentoken,10,1,0.13305190000028233,True,
GovStakingStorage,10,1,0.08000610000090091,True,
GreenHouse,10,1,0.055537600001116516,True,
HubPool,10,1,0.11966949999987264,True,
Lock,10,1,0.22748340000180178,True,
LockupContract,10,1,0.07001459999810322,True,
Meter_flat,10,1,0.05803089999972144,True,
MockChainlinkOracle,10,1,0.06749329999729525,True,
OptimisticGrants,10,1,0.09631420000005164,True,
PercentageFeeModel,10,1,0.23924499999702675,True,
PoolKeeper,10,1,0.06355029999758699,True,
ThorusBond,10,1,0.05892579999999725,True,
ThorusLottery,10,1,0.12417590000040946,True,
TimeLockPool,10,1,0.2521089000001666,True,
WASTR,10,1,0.21375540000008186,True,
AloeBlend,10,2,0.0656197999996948,True,
Amoss,10,2,0.07231510000201524,True,
AOC_BEP,10,2,1.5226032999999006,True,
ATIDStaking,10,2,0.3149866000021575,True,
AvatarArtMarketPlace,10,2,3.036077299999306,True,
Balancer,10,2,1.5503050000006624,True,
BitBookStake,10,2,0.035274599998956546,True,
CitrusToken,10,2,0.04297170000063488,True,
Claim,10,2,0.07652560000133235,True,
Core,10,2,1.0613617000017257,True,
CoreVoting,10,2,0.06500700000106008,True,
Dai,10,2,0.1717382999995607,True,
DapiServer,10,2,0.08348099999784608,True,
DeltaNeutralPancakeWorker02,10,2,0.15161689999877126,True,
Dripper,10,2,0.020983499998692423,True,
Edentoken,10,2,0.15353909999976167,True,
GovStakingStorage,10,2,0.0820229000019026,True,
GreenHouse,10,2,0.05610100000194507,True,
HubPool,10,2,0.11885270000129822,True,
Lock,10,2,0.1929327000034391,True,
LockupContract,10,2,0.06929600000148639,True,
Meter_flat,10,2,0.057558399999834364,True,
MockChainlinkOracle,10,2,0.06640680000054999,True,
OptimisticGrants,10,2,0.11807110000154353,True,
PercentageFeeModel,10,2,0.21123749999969732,True,
PoolKeeper,10,2,0.05567239999800222,True,
ThorusBond,10,2,0.04914049999933923,True,
ThorusLottery,10,2,0.07433169999785605,True,
TimeLockPool,10,2,0.17795530000148574,True,
WASTR,10,2,0.16439749999699416,True,
AloeBlend,10,3,0.059002599999075755,True,
Amoss,10,3,0.08508889999939129,True,
AOC_BEP,10,3,1.2610125999999582,True,
ATIDStaking,10,3,0.3198396999978286,True,
AvatarArtMarketPlace,10,3,3.000305899997329,True,
Balancer,10,3,1.523003599999356,True,
BitBookStake,10,3,0.03790920000028564,True,
CitrusToken,10,3,0.042400099999213126,True,
Claim,10,3,0.05810579999888432,True,
Core,10,3,1.0633473999987473,True,
CoreVoting,10,3,0.0683368000027258,True,
Dai,10,3,0.14917240000067977,True,
DapiServer,10,3,0.08145359999980428,True,
DeltaNeutralPancakeWorker02,10,3,0.14782190000187256,True,
Dripper,10,3,0.020264399998268345,True,
Edentoken,10,3,0.133766499999183,True,
GovStakingStorage,10,3,0.08315270000093733,True,
GreenHouse,10,3,0.060328700001264224,True,
HubPool,10,3,0.12370409999857657,True,
Lock,10,3,0.22233680000135791,True,
LockupContract,10,3,0.06737920000159647,True,
Meter_flat,10,3,0.059058000002551125,True,
MockChainlinkOracle,10,3,0.06947889999719337,True,
OptimisticGrants,10,3,0.09965240000019548,True,
PercentageFeeModel,10,3,0.2090301999996882,True,
PoolKeeper,10,3,0.05206669999824953,True,
ThorusBond,10,3,0.05086170000140555,True,
ThorusLottery,10,3,0.09550450000097044,True,
TimeLockPool,10,3,0.18691240000043763,True,
WASTR,10,3,0.16199989999950049,True,
AloeBlend,10,4,0.05612509999991744,True,
Amoss,10,4,0.06728410000141594,True,
AOC_BEP,10,4,1.4755914000015764,True,
ATIDStaking,10,4,0.3006576999978279,True,
AvatarArtMarketPlace,10,4,3.0307558000022254,True,
Balancer,10,4,1.5327257999997528,True,
BitBookStake,10,4,0.03887459999896237,True,
CitrusToken,10,4,0.04271529999823542,True,
Claim,10,4,0.057262700000137556,True,
Core,10,4,1.0734478000013041,True,
CoreVoting,10,4,0.049779799999669194,True,
Dai,10,4,0.14949699999851873,True,
DapiServer,10,4,0.0770766999994521,True,
DeltaNeutralPancakeWorker02,10,4,0.147801499999332,True,
Dripper,10,4,0.020596199999999953,True,
Edentoken,10,4,0.15375150000181748,True,
GovStakingStorage,10,4,0.0951165000005858,True,
GreenHouse,10,4,0.061431900001480244,True,
HubPool,10,4,0.12282219999906374,True,
Lock,10,4,0.19426519999979064,True,
LockupContract,10,4,0.0691581999999471,True,
Meter_flat,10,4,0.06361900000047171,True,
MockChainlinkOracle,10,4,0.07186670000010054,True,
OptimisticGrants,10,4,0.09859209999922314,True,
PercentageFeeModel,10,4,0.2430859000014607,True,
PoolKeeper,10,4,0.05453739999938989,True,
ThorusBond,10,4,0.0532214999984717,True,
ThorusLottery,10,4,0.07097710000016377,True,
TimeLockPool,10,4,0.1857851999993727,True,
WASTR,10,4,0.16725149999911082,True,
AloeBlend,10,5,0.05845680000129505,True,
Amoss,10,5,0.06380340000032447,True,
AOC_BEP,10,5,1.2889482999999018,True,
ATIDStaking,10,5,0.3115466000017477,True,
AvatarArtMarketPlace,10,5,3.010969099999784,True,
Balancer,10,5,1.518873299999541,True,
BitBookStake,10,5,0.03708149999874877,True,
CitrusToken,10,5,0.0432548000026145,True,
Claim,10,5,0.06000370000037947,True,
Core,10,5,1.076540500002011,True,
CoreVoting,10,5,0.04676789999939501,True,
Dai,10,5,0.16474920000109705,True,
DapiServer,10,5,0.07503300000098534,True,
DeltaNeutralPancakeWorker02,10,5,0.14629480000076,True,
Dripper,10,5,0.020709299998998176,True,
Edentoken,10,5,0.12858520000008866,True,
GovStakingStorage,10,5,0.08451469999999972,True,
GreenHouse,10,5,0.057557899999665096,True,
HubPool,10,5,0.11441410000043106,True,
Lock,10,5,0.21771430000080727,True,
LockupContract,10,5,0.07349999999860302,True,
Meter_flat,10,5,0.05879880000065896,True,
MockChainlinkOracle,10,5,0.0679286000013235,True,
OptimisticGrants,10,5,0.093539099998452,True,
PercentageFeeModel,10,5,0.20970980000129202,True,
PoolKeeper,10,5,0.05504559999826597,True,
ThorusBond,10,5,0.053069900000991765,True,
ThorusLottery,10,5,0.07176160000017262,True,
TimeLockPool,10,5,0.2190091999982542,True,
WASTR,10,5,0.1713711999982479,True,
AloeBlend,10,6,0.05914620000112336,True,
Amoss,10,6,0.06470830000034766,True,
AOC_BEP,10,6,1.2941704000004393,True,
ATIDStaking,10,6,0.33008369999879505,True,
AvatarArtMarketPlace,10,6,3.1274119000008795,True,
Balancer,10,6,1.5407137999973202,True,
BitBookStake,10,6,0.03697950000059791,True,
CitrusToken,10,6,0.040837399999873014,True,
Claim,10,6,0.058765500001754845,True,
Core,10,6,1.0806091000013112,True,
CoreVoting,10,6,0.04828350000025239,True,
Dai,10,6,0.14837140000236104,True,
DapiServer,10,6,0.07412159999876167,True,
DeltaNeutralPancakeWorker02,10,6,0.14521779999995488,True,
Dripper,10,6,0.02186450000226614,True,
Edentoken,10,6,0.13014859999748296,True,
GovStakingStorage,10,6,0.1014733999982127,True,
GreenHouse,10,6,0.05508379999810131,True,
HubPool,10,6,0.11478299999726005,True,
Lock,10,6,0.19357619999937015,True,
LockupContract,10,6,0.06973529999959283,True,
Meter_flat,10,6,0.05684869999822695,True,
MockChainlinkOracle,10,6,0.06725120000191964,True,
OptimisticGrants,10,6,0.09904099999766913,True,
PercentageFeeModel,10,6,0.23603309999816702,True,
PoolKeeper,10,6,0.05250789999990957,True,
ThorusBond,10,6,0.05265050000161864,True,
ThorusLottery,10,6,0.07416290000037407,True,
TimeLockPool,10,6,0.18778670000028796,True,
WASTR,10,6,0.16348699999798555,True,
AloeBlend,10,7,0.05618039999899338,True,
Amoss,10,7,0.06367029999819351,True,
AOC_BEP,10,7,1.303261899996869,True,
ATIDStaking,10,7,0.30860089999987395,True,
AvatarArtMarketPlace,10,7,3.006222500000149,True,
Balancer,10,7,1.5352365999970061,True,
BitBookStake,10,7,0.03696729999865056,True,
CitrusToken,10,7,0.04124479999882169,True,
Claim,10,7,0.0611758999984886,True,
Core,10,7,1.0538779000016802,True,
CoreVoting,10,7,0.05036310000286903,True,
Dai,10,7,0.14693120000083582,True,
DapiServer,10,7,0.09764969999741879,True,
DeltaNeutralPancakeWorker02,10,7,0.1436985000000277,True,
Dripper,10,7,0.020459400002437178,True,
Edentoken,10,7,0.1359809999994468,True,
GovStakingStorage,10,7,0.09226289999787696,True,
GreenHouse,10,7,0.05989630000112811,True,
